subQ,,,,,,,
how would you characterize this persons alcohol problem?,"so i ask you, general public, would you call my husbands drinking problems ""alcoholism"", or what would you call it?",,,,,,
mentally addicted to alcohol but not phsyically addicted?,,,,,,,
support for mothers who have had their child removed from their care due to alcohol addiction?,i just wondered if anyone could relate to the shame and guilt one feels for doing so and then having to accept responsibility for the consequences. ,,,,,,
how can i help my alcoholic uncle?,,,,,,,
how do i accept others drinking when my mother is an alcoholic?,what can i do to be more comfortable with him drinking and realize that not everyone who drinks alcohol is going to cause me the pain my mother did? ,,,,,,
could i develop alcoholism?,,,,,,,
how long does it take your body to recover from alcohol abuse?,,,,,,,
"does pot make people more stupid than alcohol, or is the effects about the same?",what drunk have you ever seen act intelligent?,why do people get addicted to this doing these things?,is it like a competition with friends to see who can act dumber?,"why do some stoners claim it doesnt make them dumber, isnt that just dumb?",why would someone want to do drugs to escape reality?,,
if i am an alcoholic could i be sober but still have the alcoholic personality other then the drinking part?,,,,,,,
planning to leave alcohol?,,,,,,,
would you rather be an extreme alcoholic or heroin addict?,,,,,,,
how much does an alcoholic drink on average each day?,,,,,,,
"why do people with alcoholism not have the ability to ""just stop"" their drinking?",,,,,,,
what do u do if your boyfriend doesnt tell you that he was addicted to alcohol?,,,,,,,
"looking for a true story about drug addicted babies, mothers using drugs/alcohol during pregnancy?",,,,,,,
is the current thinking by some that alcohol abuse is a disease wrong ?,,,,,,,
is it unhealthy to not drink alcohol?,"i just want to know, is it in any way unhealthy to never drink alcohol? ",,,,,,
does drinking alcohol once in a year stops height or drinking once a month stops height i am male of14 yrs old?,,,,,,,
my ex is in alcohol rehab and he told me his counselor told him to block me from calling his cell?,,,,,,,
why alcohol is not prohibited and banned?,"if anyone drinks alcohol he looses his mind, he cant identify what is right or wrong, what he is doing is right or wrong, is he doing crime.",,,,,,
"tobacco and alcohol are legal for adults, but marijuana isnt why is that?",,,,,,,
cant drink alcohol to certain point?,is this just a sign that i am just beginning to drink and will it wear off over time? ,,,,,,
"emotionally disturbed addict. im a recovering alcohol, crack, heroin and valium addict.?",should i as an addict feel guilty for doing this?,,,,,,
is my friend becoming a drug and alcohol addicted?,im very concerned what should i do?,,,,,,
why is marijuana illegal while tobacco and alcohol are legal?,,,,,,,
need advice urgently about alcohol and diazepam?,,,,,,,
is it safe to drink coffee after drinking alcohol not mixed together & not excessive.?,,,,,,,
the internet is like alcohol. agree/disagree?,,,,,,,
what are some of the health risks of alcoholism other then mental health affects?,,,,,,,
is it true that alcohol is the most abused drug in the usa?,,,,,,,
how does alcoholism affect the family unit?,,,,,,,
what does non dependent al alcohol abuse mean?,,,,,,,
what treatment options are available to kids with fetal alcohol syndrome and/or who are violent due to abuse?,,,,,,,
what are some common alcohol addiction myths?,can you tell me some common alcohol addictions myths and why you think they occur? ,,,,,,
is it usually a myth that people dont know the alcoholic is an alcoholic?,,,,,,,
what side affecs can i expect when in stop drinking,,,,,,,
"while on probation for dui charges, are you required to complete alcohol treatment and individual therapy?",will you be mandated to complete both a substance abuse treatment program as well as individual counseling?,,,,,,
am i a troubled alcoholic?,,,,,,,
does drinking alcohol affect my athletic performance?,can anyone tell me if drinking on a saturday mess anything up?,,,,,,
do you feel we should legalize marijuana and ban alcohol?,do you feel we should ban the sale of alcohol?,do you feel we should ban the sale of cigarettes?,do you feel we should legalize marijuana?,,,,
homosexuality is just like cigarettes and alcohol?,"i know its hard, but try how many diseases do homos have in comparison to heteros?",,,,,,
my mum has been an alcoholic for 25 years. please help me!?,how can i get my mum to be able to stop drinking?,"do you think rehab will work (shes been before but this time i guess i can actually help with encouragement and that and it was free?), is there anywhere or anyone who i can talk to to help me stop her drinking? ",,,,,
do you find its easier to write papers/essays after 1 or 2 drinks (alcohol of course)?,,,,,,,
will alcohol always harm a baby if youre pregnant?,,,,,,,
why is alcohol the most abused drug?,,,,,,,
"muslims, why does your faith forbid you from drinking alcohol?",,,,,,,
are adult children of an alcoholic more likely to become alcoholics then the general public?,,,,,,,
i told my teacher about my alcoholic father?,,,,,,,
how long after quitting oxycodone is it safe to drink alcohol?,how long should i wait to have my celebratory drink?,is it safe to drink now or is it way too risky? ,,,,,
some websites say alcohol can be detected.?,reading some web sites about alcohol testing they say that blood can be tested to detirmine how hong it was since someone had a drink ieven going back months can they determine this by looking at damage to the liver .,,,,,,
i really want alcohol.. :(?,"i dont know what to do, i dont want to become addicted to the stuff but i want to feel happy. ",,,,,,
are there any recovering alcoholics out there who can help me?,,,,,,,
is it harmful to have one shot of alcohol four to five times a week?,,,,,,,
"why does alcohol sometimes make me really sick, and other times it doesnt?",,,,,,,
"cymbalta, alcohol, and my liver?",i just need to know what shape my liver is most likely in. ,,,,,,
homework help! alcohol and drugs?,,,,,,,
recovering/recovered alcoholics- help with medical concerns please?,however i have no idea what to expect the gp to do- which tests will he run and how will he approach this issue?,"is this something that will likely go away naturally as a result of staying away from the alcohol, and the body adjusts and heals?",,,,,
is it nice to be an alcoholic?,,,,,,,
counter argument for alcohol abuse.?,,,,,,,
are jewish people allowed to drink alcohol?,,,,,,,
why do i get pain when i drink alcohol?,,,,,,,
why does alcohol do this ?,does alcohol make you crave benzos? ,,,,,,
"drinking every night, is this alcohol abuse?",,,,,,,
good movies about alcohol and drug addiction and also sex addiction?,,,,,,,
does it shock anyone else that weed is illegal and alcohol is legal?,,,,,,,
is there any way i can help my alcoholic friend?,,,,,,,
"my uncle is an alcoholic, what diseases may he get from alcoholism?",,,,,,,
how to differentiate heavy drinker from alcoholic?,,,,,,,
why do people drink alcohol ?,why should he try alcohol for first time in his life ? ,,,,,,
alcohol free/dry wedding! help!?,what should i do if guests bring in alcohol? ,,,,,,
are alcoholics actually very thirsty or do they drink without being thirsty?,,,,,,,
what does the bible teach about alcohol use?,,,,,,,
what shall i do my mum is an alcoholic?,,,,,,,
gastric bypass and alcoholism and hair loss taking minocycline?,,,,,,,
lets no poison our physical bodies with alcohol. lets become alcohols arch enemy?,,,,,,,
why is alcohol accepted in the military?,not putting down anybody who drinks but isnt it dangerous to be around heavy machinery and weapons while drunk?,i know alcohol is llegal but why would they allow it in the military?,,,,,
how to get rid of alcohol globally and forever?,"i mean, come on, do we really need to intoxicate ourselves to be able to have fun?","do people really need to drink this, often only with the result of waking up with no memory somewhere idontknowwhere?",,,,,
17 weeks pregnant and alcohol?,,,,,,,
"since alcohol has killed more people, why not ban it an legalize cannabis ?","since alcohol has killed more people, why not ban it an legalize cannabis ",,,,,,
world cities with least consumption of alcohol/public displays of drunkness?,,,,,,,
i drank rubbing alcohol?,,,,,,,
i cant sleep without alcohol and sleeping pills?,so two things- how to get off sleeping pills and alcohol- and how to change who i am for the better.,,,,,,
can you drink alcohol sometimes without becoming addicted?,,,,,,,
how does one become an alcoholic?,"not in the sense of alcoholism being the goal, but how does it happen?",how does someone become an alcoholic?,how did your body change when going through lots of drinking?,,,,
i drank rubbing alcohol!!?,could i be ill from the rubbing alcohol?,,,,,,
what are the best alcohol rehab centers?,,,,,,,
alcohol is a: stimulant that affects judgement drug that affects judgement hallucinogen that affects judgem?,,,,,,,
alcohol abuse. i need positive advice and shared experiences.?,,,,,,,
health class project on drug abuse/alcoholism/suicidal thoughts?,can alcoholism and/or drug abuse lead to suicidal thoughts?,,,,,,
am i a hypocrite if i taste alcohol?,,,,,,,
what effects does drinking a fifth of 80 proof alcohol have on the body every night?,how were my insides being effected during this time?,,,,,,
can nurses drink alcohol?,are nurses not allowed to drink alcohol?,could a nurse be fired if they drink alcohol on their days off? ,,,,,
am i becoming an alcoholic?,is this normal for someone experimenting for alcohol or is this a problem.,,,,,,
how long does it take for alcohol to leave your system?,or if i decided to drink vodka and redbull how many of them could i have?,,,,,,
alcohol or weed what do we think of them?,,,,,,,
please tell me some alcohol brands?,,,,,,,
"how to act drunk, fake alcohol?",,,,,,,
how to hide alcohol and smoke smell  how to act sober?,how much time do they take to leave ?,"how to not get addicted to both, like how much if enough ?",,,,,
is chlordiazepoxide/librium a good medication for alcohol withdrawal and the associated anxiety?,,,,,,,
how much alcohol would make me drunk?,,,,,,,
10 panadol extra 500mg mixed in alcohol effects on liver or not .plus what are the posiible symptons in this?,plus what are the posiible symptons in this?,,,,,,
physical and chemical properties of alcohol?,,,,,,,
i drank 2 sip of a drink which has 4% of alcohol in it?,,,,,,,
i think i drank rubbing alcohol!?,,,,,,,
i just put some rubbing alcohol on my face and i read only a minute later thats bad?,i washed it all off and im wondering if my skin is going to get irritated,,,,,,
is it possible for the body to stop absorbing alcohol so you can no longer get drunk?,can the body stop absorbing or become immune to the effects of alcohol? ,,,,,,
"why do i feel really nauseous the day after consuming alcohol, but only after i eat?",,,,,,,
"gay guys and girls, what is your alcoholic beverage of preference?",,,,,,,
"feel sick after drinking alcohol, after throwing up a week ago!?","what is the reason for this, and how long will it take for me to go back to normal?",,,,,,
how long does alcohol stay in ur blood if u drink 16 units?,,,,,,,
"i never drunk alcohol but yesterday i did, is this normal?",,,,,,,
"in the united states as a whole, is it required for store to id all people for alcohol and ciggarettes?",,,,,,,
is marley mellow alcohol?,,,,,,,
what information is on an alcohol case?,,,,,,,
blood/urine test in 3 days.. alcohol?,if i were to drink 5% alcohol wine coolers would they come up? ,,,,,,
what alcohol related crimes could land someone with probation?,,,,,,,
is it illegal to buy a air lock and other thing used for alcohol production (amylase and turbo yeast)?,or is it only illegal if i produce alcohol? ,,,,,,
how to remove the scent of alcohol?,,,,,,,
"itchy all over body, alcohol related?","if it is, how long will these itches last and/or what can i do to speed up the healing process? ",,,,,,
when distilling potato moonshine create harmful alcohol if so how do i discard this?,"(improper distillation can leave methyl alcohol in the drink, which will destroy your brain, leading to something called moonshine blindness) how do i know how much to discard per amount of pure sugar ans potatoes?",,,,,,
how to fake alcohol memory loss?,,,,,,,
any ideas please help me. alcohol related.?,,,,,,,
"what do muslims think of the protest march in london, where extreme muslims demanded a ban on selling alcohol?",is this not un-islamic?,which is kind of what pubs were invented for.,why do muslims let people like this give their religion a bad name?,,,,
"what do you think of the protest march in london, where extreme muslims demanded a ban on selling alcohol?",which is kind of what pubs were invented for.,"why do some muslims want islam to come across as a barbaric, intolerant, violent religion, run by superstitious bearded idiots.",,,,,
"why dont employers like people who smoke pot, but are fine with nicotine and alcohol fiends?",,,,,,,
is smoking and drinking alcohol really bad?,,,,,,,
lucas test is best used to identify which alcohol?,,,,,,,
do you think home distillation of alcohol should be legal?,,,,,,,
where can i find an alcohol class that is approved by the howard county court system?,does anyone have any suggestions?,,,,,,
"first alcohol party, advice on drinks?","my aunty suggested things like smirnoff ice or wkd, are these acceptable drinks?","also, how much can i have without being hammered? ",,,,,
why do high school parties have alcohol?,,,,,,,
5.5 cups of 55% alcohol is equivalent to how much 95% alcohol?,,,,,,,
alcohol for someone who doesnt like fizzy drinks?,,,,,,,
is alcoholism a mental illness or a choice?,,,,,,,
what is the vapor pressure in mmhg of a solution prepared by dissolving 45.0g of ethyl alcohol (c2h5oh) in 100?,,,,,,,
do movies encourage alcohol misuse by the themes in the films?,,,,,,,
"the vapor pressure of pure water is 23.8 mmhg, and the vapor pressure of ethyl alcohol is 61.2 mmhg at 25 c.?",what is the vapor pressure of the solution if 45.,,,,,,
recently charged with transportation of alcohol by a minor in a state im not from and need help?,shouldnt the public be known of this law if police want to enforce it?,can someone give me some advice please.,"the liquor store or the police do not inform the public of this law so how can you enforce it, it just isnt right.",,,,
anyone else think alcohol is a waste of money?,"so, do you think alcohol is a waste of money?",,,,,,
which has the higher alcohol content?,,,,,,,
can alcohol consumption be detrimental to gaining weight for an ectomorph?,,,,,,,
"i took mucinex d around 10 this morning, can i drink alcohol?",,,,,,,
is it okay to use baby wipes that have benzyl alcohol on a navel piercing?,,,,,,,
oxycodone and alcohol?,is it okay if i drink alcohol or should i wait longer? ,,,,,,
teach me everything i need to know about alcoholic drinks?,,,,,,,
is there a reputable company to purchase alcohol online?,,,,,,,
what are the rules for flying from germany to the us with alcohol in your baggage?,,,,,,,
"underage, i was not tested for alcohol at a busted party i attended, but they got my information.?",,,,,,,
can i be charged with underage consumption of alcohol without being tested?,can anyone at this party be charged with the underage consumption of alcohol or did we just kind of get off free?,,,,,,
how can one misdemeanor for underage alcohol consumption affect my future?,will this one possible blip on my record affect me? ,,,,,,
"please help, will my urine test positive for alcohol?","so, is a regular urine test the same as an etg test? ",would an etg test show whether or not i have been doing drugs?,"if an etg test is solely for alcohol, and a regular urine test is for drugs, might they perform both tests? ","if i am at risk for testing positive, any suggestions on what i might do to lower that risk?","if i were to reschedule the meeting to wednesday, then would i still be at risk for testing positive?",,
will the tsa check your id if you have alcohol in your checked baggage?,,,,,,,
does abilify clash with alcohol and caffine?,,,,,,,
i live in australia and my best friend lives in the uk can i send alcohol over to him as a birthday present?,,,,,,,
how much vodka causes alcohol poisoning?,if i drank a liter bottle to myself would it kill me?,,,,,,
can you drink alcohol after having the flu?,"would next week during the christmas be an ok time to drink alcohol after kicking the flu, given most or all the symptoms have subsided?",,,,,,
how much alcohol in half a glass of wine?,how much alcohol did i have?,what would it be equivalent to? ,,,,,
how much jgermeister would i need to consume to equal the amount of alcohol in half a glass of wine?,,,,,,,
remove alcohol stains from wall?,i will move in the near future and want to know if theres anyway to remove this alcohol stains off the wall so that i dont have any issues with the landlord.,,,,,,
can alcohol cause depression?,dont just say alcohol is a depressant please.,how does it physiologically happen and does this happen to anyone else?,,,,,
use of alcohols as fuels?,,,,,,,
alcohol or drug addiction?,,,,,,,
how come beer can spoil/grow mold yet most other alcoholic beverages cannot?,is it due to the fact that beer in general has a lower alcohol content then say.,,,,,,
would it be wrong to support my alcoholic ex boyfriend long distance?,,,,,,,
symptoms of alcohol withdrawal?,"what are the symptoms of alcohol withdrawal, and is it true that you need to wean yourself off of it?",,,,,,
extreme parania after drinking rubbing alcohol?,could they get the tests wrong?,could i be ill from the rubbing alcohol?,"could this all be paranoia, or is it real?",,,,
how to smuggle alcohol to a christmas celebration?,do any of you guys have any other good ideas of items that i could use as a container to keep a little bit of booze in?,,,,,,
can alcoholism be inherited from a grandparent or even great-grandparent?,,,,,,,
where can i buy the danish alcohol fisk?,,,,,,,
how much alcohol will i be able to drink?,,,,,,,
will it be a good idea to send my ex alcoholic boyfriend a self - help book on quitting alcohol?,,,,,,,
what are the best self-help books on quitting alcohol?,,,,,,,
whats the % alcohol strength in a glass of martini?,,,,,,,
please help with paranoia after drining rubbing alcohol?,could i be ill from the rubbing alcohol?,,,,,,
can someone be born with a high alcohol tolerance?,,,,,,,
how affective is it when people cut ties with an alcoholic until they get help?,,,,,,,
after caught with alcohol + weed how should i go about getting my guardian to believe i have add?,,,,,,,
"did the 18th amendment prohibit the sale and consumption of alcohol, or just the sale?",,,,,,,
what alcohol would not spike glucose level?,,,,,,,
do you think penny on the big bang theory is an alcoholic?,,,,,,,
"does schweppes lemon, lime and bitters contain any alcohol?",,,,,,,
do limo services check for alcohol?,so im 18 and i want to sneak alcohol into the limo cus my mum told them no alcohol will be on the limo but im finnah get wasted so would they check my stuff before going inside?,and can i put it in water bottles?,,,,,
"i think i may have alcohol poisoning, and i dont know what to do.?",,,,,,,
if im drinking alcohol and eating at same time or after why cant i get drunk?,why does food kill the drunk buzz?,does food absorb the alcohol?,,,,,
nyquil and alcohol please help?,,,,,,,
"while on probation, how do i dispute a postive egt for alcohol on a possession of marijauana charge ?",,,,,,,
can tums make alcohol less harsh on the stomach?,is my logic sound or am i wasting my time? ,,,,,,
by what process is an alcohol residue in an ester replaced by another residue?,,,,,,,
"you can start a fire if you have alcohol, petrol, kerosene, paper, candle, coke, a full matchbox and a piece o?",,,,,,,
"other drugs like alcohol , with anxiolytic and euphoric effect?",,,,,,,
in so much pain cant sleep ): what long term damage can alcohol poisoning cause?,,how long will it last.,,,,,
so much pain cant sleep ): what long term injuries can alcohol poisoning cause?,,how long will it last.,,,,,
will the tsa check your id if you have alcohol in your checked baggage in california?,,,,,,,
what alcoholic drinks dont put on weight?,,,,,,,
when was the last time you drank alcohol?,,,,,,,
"why is there so much prejudice against marijuana use, but not tobacco and alcohol use?",,,,,,,
i saw loads of diy make up products such as bronzers and eyeshadows using rubbing alcohol. is it harmful?,,,,,,,
why is alcohol expensive?,,,,,,,
when someone is an alcoholic does the alcohol drinking surpress unwanted emotions?,,,,,,,
would this be rude christmas alcohol gift exchange?,,,,,,,
"i have a pimple just about my tooth,,it hurts, can i dry it out by using rubbing alcohol?",,,,,,,
would you vote in favor of outlawing alcohol in the usa?,,,,,,,
should we outlaw alcohol in the usa in an effort to reduce alcohol abuse and alcoholism?,,,,,,,
should there be a leghal limit to how much alcohol one can buy?,,,,,,,
what could i bring to this gift exchange instead of alcohol?,what are some suitable non alcoholic gifts i could bring?,,,,,,
home or easy remedy for asian flush or asian reda condition in which the face turned red after having alcohol?,,,,,,,
is it true that the native american population has a genetic predisposition to bad reactions to alcohol?,"if that is true, is it also possible that other peoples who ban alcohol consumption also suffer from the inability to drink alcohol and still continue to behave rationally?",is that the reason for some bans on drinking?,,,,,
how many glasses of 22% alcohol port wine would this be equal to?,,,,,,,
am i a alcoholic or not?,dont get me wrong i like my alcohol and i drink a lot if it to be fair i get up on a morning not needing a drink but i open one what am i doing this for ?,,,,,,
how to help my alcoholic father?,,,,,,,
can i use a provisional license to buy alcohol?,,,,,,,
is it truely haram to drink alcohol in islam?,"so my question is, is it haram, and to what extent is it haram?",,,,,,
anjem choudary claims that muslim restaurateurs selling alcohol face 40 lashes?,"he also claims he cant live with non muslims which begs the question, why did he chose to live here then?",,,,,,
alcohol and beer is disgusting to me?,"do people actually enjoy beer as much as they say they do, or are they just saying they do because everyone else seems to and no one wants to admit that its really not that great tasting?",do i just not have what it takes to enjoy this part of life? ,,,,,
is it true that if you consume alcohol your prayers wont be accepted for 40 days?,,,,,,,
can your body be dependant on a certain type of alcohol?,,,,,,,
how many states allow you to carry a firearm in places that serve alcohol?,does anyone know other states where you can? ,,,,,,
ibuprofen and alcohol?,"okay so i had one ibuprofen pill and about four hours later i had one shot worth of baileys, i know your not supposed to drink while taking ibuprofen, but will i be okay or do i need to see a doctor?",,,,,,
my girlfriend is poisoning herself with alcohol. what do i do?,,,,,,,
my dad has been an alcoholic for five years now! any help?,,,,,,,
how does alcohol make you feel?,,,,,,,
im very very anxious . how to reduce anxiety besides alcohol .?,how to reduce anxiety besides alcohol .,,,,,,
rubbing alcohol and clothes dryer?,should i be concerned to put the rug in the dryer after i wash it?,,,,,,
when distilling alcohol if you are trying to track the temperature is it the gas or water temperature?,,,,,,,
"can i go surfing, drink alcohol etc if im still waiting to do a pregnancy test?",but should i just live as if i am not pregnant like continue life as normal?,would surfing damage the baby? ,,,,,
did you drink alcohol before the drinking age in your country?,,,,,,,
how long does it take for alcohol to come out of your body through sweat after a night of drinking?,,,,,,,
under age alcohol possession in ohio?,,,,,,,
"are you drinking an alcoholic beverage right now if so, what?","are you tipsy, drunk, or not even going there tonight? ",,,,,,
does consuming alcohol turns your mind numb?,,,,,,,
what happens when rubbing alcohol and urine mix bad chemical reaction?,,,,,,,
ethyl alcohol boils at 79 degree celsius and freezes at -117 degree celsius at one atmospheric pressure. conve?,,,,,,,
hows the alcohol policy in poland?,,,,,,,
which is the best alcohol to have when you have little cold(its a party i have no choice)?,,,,,,,
where can i buy 99% isopropyl alcohol (rubbing alcohol) in kolkata?,,,,,,,
what is a good title for a science project about alcohol?,,,,,,,
can alcohol help an ulcer?,,,,,,,
why do coffee and alcohol make me sick?,,,,,,,
is my friend an alcoholic?,,,,,,,
"can you go a week without porn/masturbation, tobacco, alcohol, coffee, and any other addictive substance?",how would you feel being free from addiction? ,,,,,,
how much alcohol could i drink?,could someone tell me in units of alcohol or pints of your regular beer.,,,,,,
is it safe to mix gas and alcohol and drop a lit match into it?,,,,,,,
"why do some religious people drink alcohol, but demonize drugs that are less dangerous?",is it mind altering thats considered demonic or something?,"and if it is, how is it much different than the euphoria you get after a couple of drinks?",,,,,
how much alcohol is in a miniature bottle is it more than a shot?,,,,,,,
will we be able to get alcohol ?,we are in a ldr and he is leaving on the 11th of jan.  should we even try to order alcohol?,,,,,,
is it safe to clean my iphone 5 with strong alcohol wipes?,,,,,,,
how drink alcohol without my parents noticing?,,,,,,,
in alcohol poisoning what stages do you go through before you die?,,,,,,,
is it allowed as a muslim to work in in a licensed restaurant that sells alcohol ?,,,,,,,
how to make alcohol?,,,,,,,
why did a grape taste like alcohol?,was it rotten which gave it that taste? ,,,,,,
epilepsy/migraines mixed with alcohol?,"my question is, can i consume alcohol without it making me have a grand mal or passing out?",,,,,,
are there any irish christmas desserts that dont have any alcohol in it?,,,,,,,
"does anyone have a recipe for cookie dough infused with alcohol they will not be baked, just left raw to eat!?",,,,,,,
low alcohol tolerance?,is it normal to have such a low tolerance for alcohol?,,,,,,
what kind of alcohol do teenagers like?,,,,,,,
is alcohol worse for you than lorazepam (including the withdrawal/lasting affects)?,,,,,,,
"do you think people are too quick to judge drug addicts/alcoholics,.....?",,,,,,,
is there any alcohol content in jack daniels sauce?,how can i find out if there is any in there.,,,,,,
"how to be genuine, honest, and real without the aid of alcohol?",,,,,,,
is alcoholism hereditary?,could that make it more likely to be passed down to me if it is hereditary? ,,,,,,
does all alcohol need to be chilled?,also does it make a difference what the alcohol is in?,or does it just not really matter. ,,,,,
"do you notice that alcohol makes you warmer, or colder?",,,,,,,
how to get alcohol stains out of suit?,,,,,,,
"im going to a rooftop place tmrw & my date is legal but im 20.  do we think well be able to buy a bottle if he orders, especially if they offer their wine selection? ",,,,,,,
can rubbing alcohol penetrate an orange peel?,are they okay to eat as long as i wait a day or so?,,,,,,
"theoretically, can alcohol cause a car to run?",,,,,,,
my sgpt is 47 i dont any drugs nor drink alcohol. my doctor sayz its not ok is it really not ok?,my doctor sayz its not ok is it really not ok? ,,,,,,
i may have gotten some drops of rubbing alcohol on my oranges. if i wait a day or so can i safely eat them?,if i wait a day or so can i safely eat them?,,,,,,
how long does alcohol stay in your system?,,,,,,,
alcohol content in foods?,how can i find out if there is any in there.,its a pretty quality restaurant too so do you think there is any in it or no?,,,,,
does alcohol evaporate faster than water?,,,,,,,
can you ship alcohol inside indiana?,can you ship alcohol from one city in indiana to another?,,,,,,
isoniazid and alcohol question..please see?,"first question, if there is a blood test available why doesnt everyone just do that since it is more accurate than the skin test?",what would happen if i drank one night?,"also, how would i know if there was something wrong with my liver?",,,,
how to make windshield wiper fluid for winter that does not use alcohol?,,,,,,,
"just curious, am i able to drink alcohol?",,,,,,,
what to do after drinking alcohol in hot tub?,"anyway i drank like a 5% beer an hour before going to the hot tub and i was relaxing there for an hour and then when i came out i felt dizzy and i was sorta confused and not feeling right, what should i do now?",,,,,,
a beaker is filled to the 500 ml mark with alcohol. what increase in volume (in ml) does the beaker contain?,what increase in volume (in ml) does the beaker contain,,,,,,
sleepwalking from alcohol?,"it is more funny than anything else, but im wondering if this is something i should watch out for?",,,,,,
can you drink alcohol if youre taking prednisolone tablets (steriod) and amoxicillin (antibiotic)?,,,,,,,
is the alcohol industry doing well right now (2013) despite the economy struggles?,,,,,,,
how do yall get alcohol under 21?,,,,,,,
does whiskey have more alcohol than wine?,,,,,,,
alcohol and klonopin?,is it safe for me to drink some beers since the dosage was about 10 1/2 hours ago?,,,,,,
only 13% of fatal car accidents are alcohol-related. does drinking give me an 87% chance of survival?,does drinking give me an 87% chance of survival? ,,,,,,
doctors tests to show the last time you drank alcohol?,i quit drinking a long time ago and i just wanna see if there is some sort of test they can give someone to determine what the last day was that they drank. ,,,,,,
whats your favorite alcohol for the holidays looking for something good this christmas!?,,,,,,,
what would be the formula for calculating the most cost efficient alcoholic drink to buy?,how would you calculate which was the better value for money going by how much alcohol you would be buying?,,,,,,
please read my blog post about alcohol?,,,,,,,
do alcoholics get hungover?,how do people drink daily and still function? ,,,,,,
80mg of propranolol and alcohol ?,will anything bad happen if i drink alcohol tonight? ,,,,,,
why does drinking alcohol make you tired?,,,,,,,
how much is alcohol part or dating?,do you activities together often involve having a drink or more?,"do you go to bars, talk and drink for hours?",have just a few drinks to relax?,"could you date someone who dosent drink much just because they dont like it, or would you consider that lame or anti-social? ",,,
is it safe to drink alcohol?,,,,,,,
do you drink alcohol?,what do you normally drink ?,,,,,,
isoniazid (tb medicine) & alcohol question (10 points for answer)?,what would happen if i drank one night?,will this cause damage to my liver?,"also, how would i know if there was something wrong with my liver?",,,,
how much alcohol is in alcohol?,is there any water in it if so what percentage and what else do they put in?,,,,,,
can you be an alcoholic without ever drinking alcohol?,is it possible to be an alcoholic without having ever drunk alcohol in your life before?,,,,,,
"adderall, xanax, alcohol, and nicotine addiction - how best to quit?",any advice on how best to quit and/or what effects these drugs could have would be much appreciated. ,,,,,,
drinking alcohol after tylenol wears off?,"ive heard youre not supposed to drink while taking tylenol, but what about after it wears off?",,,,,,
is there a song you like that mentions alcohol in some way?,,,,,,,
bringing alcohol in carry on?,will i get caught or in trouble if i bring it in my carry on?,,,,,,
can i use green alcohol to clean my glass pipe?,,,,,,,
can i buy alcohol on the day of my 18th birthday (uk)?,and just out of interest does it make any difference if i buy a 6 pack of beer compared to a bottle of vodka for example.,i mean because im just 18 would they sell me the beer but not the vodka as it obviously has a much higher alcohol percentage or would they sell me anything alcoholic?,,,,,
general anesthesia and alcoholism?,my question is<semcol> will he need to quit drinking before the operation?,,,,,,
is it ok that i took some alcohol on my period?,will something bad happen that i had some sips of alcohol during my period,,,,,,
alcohol is probaby best high ever?,,,,,,,
how long does it take for alcohol to leave your system?,would getting drunk tonight show up on a ua test (in any level at all)?,,,,,,
i have questions about alcohol abuse and denial.?,"when does ""moderate"" use of alcohol become alcohol abuse?",why are people who dont drink alcohol so quick to accuse you of being in denial if you consume more alcohol than they judge to be an acceptable amount? ,why do some people so quick to claim you are in denial just because you disagree with them about your alcohol use?,,,,
christians did jesus violate law (torah) or paul made him apear so.alcohol pork is prohibited in bible?,,,,,,,
"what does it mean, there is no alcohol but i can smell it?",,,,,,,
where can i buy everclear grain alcohol?,,,,,,,
do i drink to much alcohol?,do you think ive done enough drinking to seriously damage my liver?,,,,,,
i drank rubbing alcohol 4 months ago?,could i be ill from the rubbing alcohol?,,,,,,
can i bring alcohol in my checked luggage underage?,,,,,,,
am i an alcoholic and are these presents to mean as ive no money?,,,,,,,
why is weed illegal and alcohol legal?,,,,,,,
do alcoholics only show their behaviour to those they love?,,,,,,,
i want to apply for a city jail but im 21 and i have had alcohol several times under 21?,ill be 21 in less than a month but what are the chances that this can hurt me from getting the job? ,,,,,,
what will happen if my mate buys under age alcohol?,,,,,,,
have you ever had alcohol?,,,,,,,
will i get tested for alcohol?,do you think they will test for alcohol aswell since its only a $10 fee?,so what do you guys think?,,,,,
can i get drunk off of .8% of alcohol?,,,,,,,
can you put alcohol in hot chocolate?,"if so, what negative affects could it have on the taste/consistency depending on what i use to make it (milk/water)?",what kind of alcohol/liqueur do you suggest?,"if you have a favorite recipe, what is it? ",,,,
why do people make a weird face when they drink hard alcohol?,in movies people make a weird face like it hurts or something why do they make a face? ,,,,,,
how to get over my alcohol problem?,,,,,,,
"why are some products such as cigarettes, public utilities and alcohol singled out for additional taxes?",,,,,,,
" if a good looking girl asked you to buy alcohol for her, would you?",,,,,,,
why do you use rubbing alcohol when your leg hurts?,,,,,,,
a person with a bac of o.o8 is considered legally intoxicated. which behaviour can lower ther blood alcohol?,which behaviour can lower ther blood alcohol,,,,,,
alcohol advice ....?,,,,,,,
what is your favorite alcohol?,,,,,,,
how long till alcohol not show on a piss test?,,,,,,,
i dont have any health insurance. afer vomiting alcohol. the back and front of my chest hurts?,,,,,,,
smuggling alcohol help lol?,will they send me to jail for smuggling drugs if i bring alcohol from a country of a drinking age of 18?,would i get caught if i just didnt list it on the claims of whatever,,,,,
